batter,runs,balls,strike_rate
 TK Curran              ,127,108,117.59259259259258
 TL Seifert             ,26,26,100.0
 TL Suman               ,676,587,115.1618398637138
 TM Dilshan             ,1153,1047,110.12416427889207
 TM Head                ,772,458,168.5589519650655
 TM Srivastava          ,8,11,72.72727272727273
 TR Birt                ,75,59,127.11864406779661
 TS Mills               ,8,14,57.14285714285714
 TU Deshpande           ,21,15,140.0
 Tanush Kotian          ,24,32,75.0
 Tilak Varma            ,1156,830,139.27710843373492
 U Kaul                 ,0,1,0.0
 UA Birla               ,7,15,46.666666666666664
 UBT Chand              ,300,314,95.54140127388536
 UT Khawaja             ,127,105,120.95238095238095
 UT Yadav               ,208,211,98.5781990521327
 Umar Gul               ,39,19,205.26315789473685
 Umran Malik            ,23,16,143.75
 V Kohli                ,8014,6236,128.51186658114176
 V Pratap Singh         ,0,1,0.0
 V Sehwag               ,2728,1833,148.82705946535734
 V Shankar              ,1115,890,125.2808988764045
 V Viyaskanth           ,7,5,140.0
 VG Arora               ,9,17,52.94117647058824
 VH Zol                 ,29,26,111.53846153846155
 VR Aaron               ,50,73,68.4931506849315
 VR Iyer                ,1326,1000,132.6
 VRV Singh              ,4,3,133.33333333333331
 VS Malik               ,7,7,100.0
 VS Yeligati            ,2,2,100.0
 VVS Laxman             ,282,271,104.0590405904059
 VY Mahesh              ,15,28,53.57142857142857
 Vijaykumar Vyshak      ,14,13,107.6923076923077
 Virat Singh            ,15,26,57.692307692307686
 Vishnu Vinod           ,56,58,96.55172413793103
 Vivrant Sharma         ,69,49,140.81632653061226
 W Jaffer               ,130,129,100.7751937984496
 WA Mota                ,56,76,73.68421052631578
 WD Parnell             ,65,86,75.5813953488372
 WG Jacks               ,230,133,172.93233082706766
 WP Saha                ,2934,2368,123.90202702702702
 WPUJC Vaas             ,81,73,110.95890410958904
 Washington Sundar      ,378,341,110.85043988269794
 X Thalaivan Sargunam   ,10,17,58.82352941176471
 Y Gnaneswara Rao       ,19,18,105.55555555555556
 Y Nagar                ,285,271,105.1660516605166
 Y Prithvi Raj          ,0,1,0.0
 Y Venugopal Rao        ,985,865,113.87283236994219
 YA Abdulla             ,0,1,0.0
 YBK Jaiswal            ,1607,1095,146.7579908675799
 YK Pathan              ,3222,2334,138.04627249357327
 YS Chahal              ,37,89,41.57303370786517
 YV Dhull               ,16,23,69.56521739130434
 YV Takawale            ,192,183,104.91803278688525
 Yash Dayal             ,0,1,0.0
 Yashpal Singh          ,47,67,70.1492537313433
 Younis Khan            ,3,7,42.857142857142854
 Yudhvir Singh          ,22,16,137.5
 Yuvraj Singh           ,2754,2207,124.78477571363842
 Z Khan                 ,117,141,82.97872340425532
